CHP_ID	Medicinal_properties	Class	x_rank	y_rank
CHP00013	Warm therapeutic	Therapeutic nature	18	6
CHP00014	Pungent medicinal	Medicinal flavor	14	4
CHP00014	Bitter medicinal	Medicinal flavor	10	13
CHP00014	Spleen meridian	Meridian tropism	19	5
CHP00014	Liver meridian	Meridian tropism	12	7
CHP00014	Kidney meridian	Meridian tropism	21	10
CHP00014	Warm therapeutic	Therapeutic nature	18	6
CHP00015	Pungent medicinal	Medicinal flavor	14	4
CHP00015	Bitter medicinal	Medicinal flavor	10	13
CHP00015	Liver meridian	Meridian tropism	12	7
CHP00015	Heart meridian	Meridian tropism	9	21
CHP00015	Warm therapeutic	Therapeutic nature	18	6
CHP00016	Sweet medicinal	Medicinal flavor	13	19
CHP00016	Bitter medicinal	Medicinal flavor	10	13
CHP00016	Lung meridian	Meridian tropism	5	8
CHP00016	Heart meridian	Meridian tropism	9	21
CHP00016	Cold therapeutic	Therapeutic nature	6	17
CHP00017	Cold therapeutic	Therapeutic nature	6	17
CHP00018	Bitter medicinal	Medicinal flavor	10	13
CHP00018	Large intestine meridian	Meridian tropism	2	9
CHP00018	Stomach meridian	Meridian tropism	8	3
CHP00018	Liver meridian	Meridian tropism	12	7
CHP00018	Cold therapeutic	Therapeutic nature	6	17
CHP00019	Pungent medicinal	Medicinal flavor	14	4
CHP00019	Bitter medicinal	Medicinal flavor	10	13
CHP00019	Spleen meridian	Meridian tropism	19	5
CHP00019	Liver meridian	Meridian tropism	12	7
CHP00019	Heart meridian	Meridian tropism	9	21
CHP00019	Warm therapeutic	Therapeutic nature	18	6
CHP00020	Pungent medicinal	Medicinal flavor	14	4
CHP00020	Bitter medicinal	Medicinal flavor	10	13
CHP00020	Spleen meridian	Meridian tropism	19	5
CHP00020	Lung meridian	Meridian tropism	5	8
CHP00020	Warm therapeutic	Therapeutic nature	18	6
CHP00021	Pungent medicinal	Medicinal flavor	14	4
CHP00021	Bitter medicinal	Medicinal flavor	10	13
CHP00021	Cool therapeutic	Therapeutic nature	15	11
CHP00022	Pungent medicinal	Medicinal flavor	14	4
CHP00022	Bitter medicinal	Medicinal flavor	10	13
CHP00022	Warm therapeutic	Therapeutic nature	18	6
CHP00023	Sweet medicinal	Medicinal flavor	13	19
CHP00023	Bitter medicinal	Medicinal flavor	10	13
CHP00023	Lung meridian	Meridian tropism	5	8
CHP00023	Heart meridian	Meridian tropism	9	21
CHP00023	Cold therapeutic	Therapeutic nature	6	17
CHP00024	Sweet medicinal	Medicinal flavor	13	19
CHP00024	Bitter medicinal	Medicinal flavor	10	13
CHP00024	Cold therapeutic	Therapeutic nature	6	17
CHP00025	Sweet medicinal	Medicinal flavor	13	19
CHP00025	Neutral therapeutic	Therapeutic nature	16	15
CHP00026	Pungent medicinal	Medicinal flavor	14	4
CHP00026	Bitter medicinal	Medicinal flavor	10	13
CHP00026	Liver meridian	Meridian tropism	12	7
CHP00026	Kidney meridian	Meridian tropism	21	10
CHP00026	Heart meridian	Meridian tropism	9	21
CHP00026	Warm therapeutic	Therapeutic nature	18	6
CHP00027	Pungent medicinal	Medicinal flavor	14	4
CHP00027	Bitter medicinal	Medicinal flavor	10	13
CHP00027	Liver meridian	Meridian tropism	12	7
CHP00027	Kidney meridian	Meridian tropism	21	10
CHP00027	Heart meridian	Meridian tropism	9	21
CHP00027	Warm therapeutic	Therapeutic nature	18	6
CHP00028	Pungent medicinal	Medicinal flavor	14	4
CHP00028	Stomach meridian	Meridian tropism	8	3
CHP00028	Liver meridian	Meridian tropism	12	7
CHP00028	Neutral therapeutic	Therapeutic nature	16	15
CHP00029	Pungent medicinal	Medicinal flavor	14	4
CHP00029	Bitter medicinal	Medicinal flavor	10	13
CHP00029	Liver meridian	Meridian tropism	12	7
CHP00029	Kidney meridian	Meridian tropism	21	10
CHP00029	Neutral therapeutic	Therapeutic nature	16	15
CHP00030	Sweet medicinal	Medicinal flavor	13	19
CHP00030	Pungent medicinal	Medicinal flavor	14	4
CHP00030	Stomach meridian	Meridian tropism	8	3
CHP00030	Spleen meridian	Meridian tropism	19	5
CHP00030	Liver meridian	Meridian tropism	12	7
CHP00030	Kidney meridian	Meridian tropism	21	10
CHP00030	Warm therapeutic	Therapeutic nature	18	6
CHP00031	Pungent medicinal	Medicinal flavor	14	4
CHP00031	Bitter medicinal	Medicinal flavor	10	13
CHP00031	Warm therapeutic	Therapeutic nature	18	6
CHP00032	Sweet medicinal	Medicinal flavor	13	19
CHP00032	Bitter medicinal	Medicinal flavor	10	13
CHP00032	Cool therapeutic	Therapeutic nature	15	11
CHP00033	Bitter medicinal	Medicinal flavor	10	13
CHP00033	Liver meridian	Meridian tropism	12	7
CHP00033	Heart meridian	Meridian tropism	9	21
CHP00033	Bladder meridian	Meridian tropism	7	12
CHP00033	Cool therapeutic	Therapeutic nature	15	11
CHP00034	Sweet medicinal	Medicinal flavor	13	19
CHP00034	Liver meridian	Meridian tropism	12	7
CHP00034	Spleen meridian	Meridian tropism	19	5
CHP00034	Kidney meridian	Meridian tropism	21	10
CHP00034	Cold therapeutic	Therapeutic nature	6	17
CHP00035	Sweet medicinal	Medicinal flavor	13	19
CHP00035	Warm therapeutic	Therapeutic nature	18	6
CHP00036	Pungent medicinal	Medicinal flavor	14	4
CHP00036	Bitter medicinal	Medicinal flavor	10	13
CHP00036	Lung meridian	Meridian tropism	5	8
CHP00036	Liver meridian	Meridian tropism	12	7
CHP00036	Cool therapeutic	Therapeutic nature	15	11
CHP00037	Pungent medicinal	Medicinal flavor	14	4
CHP00037	Large intestine meridian	Meridian tropism	2	9
CHP00037	Stomach meridian	Meridian tropism	8	3
CHP00037	Hot therapeutic	Therapeutic nature	22	2
CHP00038	Pungent medicinal	Medicinal flavor	14	4
CHP00038	Large intestine meridian	Meridian tropism	2	9
CHP00038	Stomach meridian	Meridian tropism	8	3
CHP00038	Lung meridian	Meridian tropism	5	8
CHP00038	Hot therapeutic	Therapeutic nature	22	2
CHP00039	Sweet medicinal	Medicinal flavor	13	19
CHP00039	Pungent medicinal	Medicinal flavor	14	4
CHP00039	Liver meridian	Meridian tropism	12	7
CHP00039	Kidney meridian	Meridian tropism	21	10
CHP00039	Warm therapeutic	Therapeutic nature	18	6
CHP00040	Bitter medicinal	Medicinal flavor	10	13
CHP00040	Astringent medicinal	Medicinal flavor	17	18
CHP00040	Cool therapeutic	Therapeutic nature	15	11
CHP00041	Bitter medicinal	Medicinal flavor	10	13
CHP00041	Neutral therapeutic	Therapeutic nature	16	15
CHP00042	Salty medicinal	Medicinal flavor	23	16
CHP00042	Bitter medicinal	Medicinal flavor	10	13
CHP00042	Stomach meridian	Meridian tropism	8	3
CHP00042	Lung meridian	Meridian tropism	5	8
CHP00042	Cold therapeutic	Therapeutic nature	6	17
CHP00043	Spleen meridian	Meridian tropism	19	5
CHP00043	Heart meridian	Meridian tropism	9	21
CHP00043	Pericardium meridian	Meridian tropism	11	23
CHP00043	Cool therapeutic	Therapeutic nature	15	11
CHP00044	Sweet medicinal	Medicinal flavor	13	19
CHP00044	Pungent medicinal	Medicinal flavor	14	4
CHP00044	Cool therapeutic	Therapeutic nature	15	11
CHP00045	Sweet medicinal	Medicinal flavor	13	19
CHP00045	Neutral therapeutic	Therapeutic nature	16	15
CHP00046	Sweet medicinal	Medicinal flavor	13	19
CHP00046	Pungent medicinal	Medicinal flavor	14	4
CHP00046	Warm therapeutic	Therapeutic nature	18	6
CHP00047	Bitter medicinal	Medicinal flavor	10	13
CHP00047	Lung meridian	Meridian tropism	5	8
CHP00047	Liver meridian	Meridian tropism	12	7
CHP00047	Neutral therapeutic	Therapeutic nature	16	15
CHP00048	Sweet medicinal	Medicinal flavor	13	19
CHP00048	Bitter medicinal	Medicinal flavor	10	13
CHP00048	Astringent medicinal	Medicinal flavor	17	18
CHP00048	Liver meridian	Meridian tropism	12	7
CHP00048	Kidney meridian	Meridian tropism	21	10
CHP00048	Neutral therapeutic	Therapeutic nature	16	15
CHP00049	Bitter medicinal	Medicinal flavor	10	13
CHP00049	Astringent medicinal	Medicinal flavor	17	18
CHP00050	Sweet medicinal	Medicinal flavor	13	19
CHP00050	Bitter medicinal	Medicinal flavor	10	13
CHP00050	Neutral therapeutic	Therapeutic nature	16	15
CHP00051	Bitter medicinal	Medicinal flavor	10	13
CHP00051	Cold therapeutic	Therapeutic nature	6	17
CHP00052	Pungent medicinal	Medicinal flavor	14	4
CHP00052	Neutral therapeutic	Therapeutic nature	16	15
CHP00053	Bitter medicinal	Medicinal flavor	10	13
CHP00053	Astringent medicinal	Medicinal flavor	17	18
CHP00053	Spleen meridian	Meridian tropism	19	5
CHP00053	Liver meridian	Meridian tropism	12	7
CHP00053	Neutral therapeutic	Therapeutic nature	16	15
CHP00054	Sweet medicinal	Medicinal flavor	13	19
CHP00054	Pungent medicinal	Medicinal flavor	14	4
CHP00054	Neutral therapeutic	Therapeutic nature	16	15
CHP00055	Sweet medicinal	Medicinal flavor	13	19
CHP00055	Cold therapeutic	Therapeutic nature	6	17
CHP00056	Sweet medicinal	Medicinal flavor	13	19
CHP00056	Cold therapeutic	Therapeutic nature	6	17
CHP00057	Sweet medicinal	Medicinal flavor	13	19
CHP00057	Bitter medicinal	Medicinal flavor	10	13
CHP00057	Cool therapeutic	Therapeutic nature	15	11
CHP00058	Sweet medicinal	Medicinal flavor	13	19
CHP00058	Cold therapeutic	Therapeutic nature	6	17
CHP00059	Pungent medicinal	Medicinal flavor	14	4
CHP00059	Bitter medicinal	Medicinal flavor	10	13
CHP00059	Warm therapeutic	Therapeutic nature	18	6
CHP00060	Sweet medicinal	Medicinal flavor	13	19
CHP00060	Neutral therapeutic	Therapeutic nature	16	15
CHP00061	Sweet medicinal	Medicinal flavor	13	19
CHP00061	Sour medicinal	Medicinal flavor	20	20
CHP00061	Warm therapeutic	Therapeutic nature	18	6
CHP00062	Bitter medicinal	Medicinal flavor	10	13
CHP00062	Liver meridian	Meridian tropism	12	7
CHP00062	Kidney meridian	Meridian tropism	21	10
CHP00062	Heart meridian	Meridian tropism	9	21
CHP00062	Bladder meridian	Meridian tropism	7	12
CHP00062	Cool therapeutic	Therapeutic nature	15	11
CHP00062	Cold therapeutic	Therapeutic nature	6	17
CHP00063	Bitter medicinal	Medicinal flavor	10	13
CHP00063	Cool therapeutic	Therapeutic nature	15	11
CHP00064	Sweet medicinal	Medicinal flavor	13	19
CHP00064	Cool therapeutic	Therapeutic nature	15	11
CHP00065	Sweet medicinal	Medicinal flavor	13	19
CHP00065	Bitter medicinal	Medicinal flavor	10	13
CHP00065	Neutral therapeutic	Therapeutic nature	16	15
CHP00066	Sweet medicinal	Medicinal flavor	13	19
CHP00066	Salty medicinal	Medicinal flavor	23	16
CHP00066	Neutral therapeutic	Therapeutic nature	16	15
CHP00067	Pungent medicinal	Medicinal flavor	14	4
CHP00067	Bitter medicinal	Medicinal flavor	10	13
CHP00067	Warm therapeutic	Therapeutic nature	18	6
CHP00068	Sour medicinal	Medicinal flavor	20	20
CHP00068	Pungent medicinal	Medicinal flavor	14	4
CHP00068	Warm therapeutic	Therapeutic nature	18	6
CHP00069	Sweet medicinal	Medicinal flavor	13	19
CHP00069	Pungent medicinal	Medicinal flavor	14	4
CHP00069	Warm therapeutic	Therapeutic nature	18	6
CHP00070	Sweet medicinal	Medicinal flavor	13	19
CHP00070	Cool therapeutic	Therapeutic nature	15	11
CHP00071	Sweet medicinal	Medicinal flavor	13	19
CHP00071	Spleen meridian	Meridian tropism	19	5
CHP00071	Liver meridian	Meridian tropism	12	7
CHP00071	Neutral therapeutic	Therapeutic nature	16	15
CHP00072	Bitter medicinal	Medicinal flavor	10	13
CHP00072	Astringent medicinal	Medicinal flavor	17	18
CHP00072	Cool therapeutic	Therapeutic nature	15	11
CHP00073	Bitter medicinal	Medicinal flavor	10	13
CHP00073	Lung meridian	Meridian tropism	5	8
CHP00073	Heart meridian	Meridian tropism	9	21
CHP00073	Cool therapeutic	Therapeutic nature	15	11
CHP00074	Bitter medicinal	Medicinal flavor	10	13
CHP00074	Astringent medicinal	Medicinal flavor	17	18
CHP00074	Spleen meridian	Meridian tropism	19	5
CHP00074	Lung meridian	Meridian tropism	5	8
CHP00074	Cool therapeutic	Therapeutic nature	15	11
CHP00075	Bitter medicinal	Medicinal flavor	10	13
CHP00075	Lung meridian	Meridian tropism	5	8
CHP00075	Heart meridian	Meridian tropism	9	21
CHP00075	Cold therapeutic	Therapeutic nature	6	17
CHP00076	Pungent medicinal	Medicinal flavor	14	4
CHP00076	Stomach meridian	Meridian tropism	8	3
CHP00076	Liver meridian	Meridian tropism	12	7
CHP00076	Warm therapeutic	Therapeutic nature	18	6
CHP00077	Sweet medicinal	Medicinal flavor	13	19
CHP00077	Pungent medicinal	Medicinal flavor	14	4
CHP00077	Lung meridian	Meridian tropism	5	8
CHP00077	Liver meridian	Meridian tropism	12	7
CHP00077	Warm therapeutic	Therapeutic nature	18	6
CHP00078	Sweet medicinal	Medicinal flavor	13	19
CHP00078	Warm therapeutic	Therapeutic nature	18	6
CHP00078	Neutral therapeutic	Therapeutic nature	16	15
CHP00079	Sweet medicinal	Medicinal flavor	13	19
CHP00079	Bitter medicinal	Medicinal flavor	10	13
CHP00079	Neutral therapeutic	Therapeutic nature	16	15
CHP00080	Sweet medicinal	Medicinal flavor	13	19
CHP00080	Pungent medicinal	Medicinal flavor	14	4
CHP00080	Warm therapeutic	Therapeutic nature	18	6
CHP00081	Sweet medicinal	Medicinal flavor	13	19
CHP00081	Bitter medicinal	Medicinal flavor	10	13
CHP00081	Neutral therapeutic	Therapeutic nature	16	15
CHP00082	Bitter medicinal	Medicinal flavor	10	13
CHP00082	Cool therapeutic	Therapeutic nature	15	11
CHP00083	Sweet medicinal	Medicinal flavor	13	19
CHP00083	Bitter medicinal	Medicinal flavor	10	13
CHP00083	Cold therapeutic	Therapeutic nature	6	17
CHP00084	Pungent medicinal	Medicinal flavor	14	4
CHP00084	Bitter medicinal	Medicinal flavor	10	13
CHP00084	Cool therapeutic	Therapeutic nature	15	11
CHP00085	Sweet medicinal	Medicinal flavor	13	19
CHP00085	Astringent medicinal	Medicinal flavor	17	18
CHP00085	Neutral therapeutic	Therapeutic nature	16	15
CHP00086	Sweet medicinal	Medicinal flavor	13	19
CHP00086	Pungent medicinal	Medicinal flavor	14	4
CHP00086	Neutral therapeutic	Therapeutic nature	16	15
CHP00087	Pungent medicinal	Medicinal flavor	14	4
CHP00087	Bitter medicinal	Medicinal flavor	10	13
CHP00087	Neutral therapeutic	Therapeutic nature	16	15
CHP00088	Pungent medicinal	Medicinal flavor	14	4
CHP00088	Bitter medicinal	Medicinal flavor	10	13
CHP00089	Sweet medicinal	Medicinal flavor	13	19
CHP00089	Neutral therapeutic	Therapeutic nature	16	15
CHP00090	Pungent medicinal	Medicinal flavor	14	4
CHP00090	Bitter medicinal	Medicinal flavor	10	13
CHP00090	Astringent medicinal	Medicinal flavor	17	18
CHP00090	Warm therapeutic	Therapeutic nature	18	6
CHP00091	Sweet medicinal	Medicinal flavor	13	19
CHP00091	Bitter medicinal	Medicinal flavor	10	13
CHP00091	Lung meridian	Meridian tropism	5	8
CHP00091	Heart meridian	Meridian tropism	9	21
CHP00091	Cold therapeutic	Therapeutic nature	6	17
CHP00092	Bitter medicinal	Medicinal flavor	10	13
CHP00092	Neutral therapeutic	Therapeutic nature	16	15
CHP00093	Sweet medicinal	Medicinal flavor	13	19
CHP00093	Bitter medicinal	Medicinal flavor	10	13
CHP00093	Small intestine meridian	Meridian tropism	3	22
CHP00093	Large intestine meridian	Meridian tropism	2	9
CHP00093	Stomach meridian	Meridian tropism	8	3
CHP00093	Cold therapeutic	Therapeutic nature	6	17
CHP00094	Bitter medicinal	Medicinal flavor	10	13
CHP00094	Cold therapeutic	Therapeutic nature	6	17
CHP00095	Pungent medicinal	Medicinal flavor	14	4
CHP00095	Bitter medicinal	Medicinal flavor	10	13
CHP00095	Liver meridian	Meridian tropism	12	7
CHP00095	Warm therapeutic	Therapeutic nature	18	6
CHP00096	Pungent medicinal	Medicinal flavor	14	4
CHP00096	Bitter medicinal	Medicinal flavor	10	13
CHP00096	Lung meridian	Meridian tropism	5	8
CHP00096	Liver meridian	Meridian tropism	12	7
CHP00096	Cold therapeutic	Therapeutic nature	6	17
CHP00097	Pungent medicinal	Medicinal flavor	14	4
CHP00097	Cold therapeutic	Therapeutic nature	6	17
CHP00098	Sweet medicinal	Medicinal flavor	13	19
CHP00098	Bitter medicinal	Medicinal flavor	10	13
CHP00098	Neutral therapeutic	Therapeutic nature	16	15
CHP00099	Sweet medicinal	Medicinal flavor	13	19
CHP00099	Bitter medicinal	Medicinal flavor	10	13
CHP00099	Astringent medicinal	Medicinal flavor	17	18
CHP00099	Stomach meridian	Meridian tropism	8	3
CHP00099	Lung meridian	Meridian tropism	5	8
CHP00099	Liver meridian	Meridian tropism	12	7
CHP00099	Cold therapeutic	Therapeutic nature	6	17
CHP00100	Pungent medicinal	Medicinal flavor	14	4
CHP00100	Bitter medicinal	Medicinal flavor	10	13
CHP00100	Cool therapeutic	Therapeutic nature	15	11
CHP00101	Pungent medicinal	Medicinal flavor	14	4
CHP00101	Stomach meridian	Meridian tropism	8	3
CHP00101	Lung meridian	Meridian tropism	5	8
CHP00101	Warm therapeutic	Therapeutic nature	18	6
CHP00102	Pungent medicinal	Medicinal flavor	14	4
CHP00102	Stomach meridian	Meridian tropism	8	3
CHP00102	Lung meridian	Meridian tropism	5	8
CHP00102	Warm therapeutic	Therapeutic nature	18	6
CHP00103	Bitter medicinal	Medicinal flavor	10	13
CHP00103	Cold therapeutic	Therapeutic nature	6	17
CHP00104	Bitter medicinal	Medicinal flavor	10	13
CHP00104	Lung meridian	Meridian tropism	5	8
CHP00104	Heart meridian	Meridian tropism	9	21
CHP00104	Cold therapeutic	Therapeutic nature	6	17
CHP00105	Pungent medicinal	Medicinal flavor	14	4
CHP00105	Warm therapeutic	Therapeutic nature	18	6
CHP00106	Pungent medicinal	Medicinal flavor	14	4
CHP00106	Spleen meridian	Meridian tropism	19	5
CHP00106	Kidney meridian	Meridian tropism	21	10
CHP00106	Warm therapeutic	Therapeutic nature	18	6
CHP00107	Pungent medicinal	Medicinal flavor	14	4
CHP00107	Stomach meridian	Meridian tropism	8	3
CHP00107	Liver meridian	Meridian tropism	12	7
CHP00107	Warm therapeutic	Therapeutic nature	18	6
CHP00108	Pungent medicinal	Medicinal flavor	14	4
CHP00108	Bitter medicinal	Medicinal flavor	10	13
CHP00108	Warm therapeutic	Therapeutic nature	18	6
CHP00109	Pungent medicinal	Medicinal flavor	14	4
CHP00109	Bitter medicinal	Medicinal flavor	10	13
CHP00109	Neutral therapeutic	Therapeutic nature	16	15
CHP00110	Bitter medicinal	Medicinal flavor	10	13
CHP00110	Cold therapeutic	Therapeutic nature	6	17
CHP00111	Bitter medicinal	Medicinal flavor	10	13
CHP00111	Spleen meridian	Meridian tropism	19	5
CHP00111	Kidney meridian	Meridian tropism	21	10
CHP00111	Cold therapeutic	Therapeutic nature	6	17
CHP00112	Pungent medicinal	Medicinal flavor	14	4
CHP00112	Bitter medicinal	Medicinal flavor	10	13
CHP00112	Neutral therapeutic	Therapeutic nature	16	15
CHP00113	Bitter medicinal	Medicinal flavor	10	13
CHP00113	Astringent medicinal	Medicinal flavor	17	18
CHP00113	Warm therapeutic	Therapeutic nature	18	6
CHP00114	Pungent medicinal	Medicinal flavor	14	4
CHP00114	Bitter medicinal	Medicinal flavor	10	13
CHP00114	Stomach meridian	Meridian tropism	8	3
CHP00114	Heart meridian	Meridian tropism	9	21
CHP00114	Cold therapeutic	Therapeutic nature	6	17
CHP00115	Bitter medicinal	Medicinal flavor	10	13
CHP00115	Cold therapeutic	Therapeutic nature	6	17
CHP00116	Sweet medicinal	Medicinal flavor	13	19
CHP00116	Spleen meridian	Meridian tropism	19	5
CHP00116	Stomach meridian	Meridian tropism	8	3
CHP00116	Cold therapeutic	Therapeutic nature	6	17
CHP00117	Bitter medicinal	Medicinal flavor	10	13
CHP00117	Cold therapeutic	Therapeutic nature	6	17
CHP00118	Sweet medicinal	Medicinal flavor	13	19
CHP00118	Sour medicinal	Medicinal flavor	20	20
CHP00118	Neutral therapeutic	Therapeutic nature	16	15
CHP00119	Pungent medicinal	Medicinal flavor	14	4
CHP00119	Bitter medicinal	Medicinal flavor	10	13
CHP00119	Cool therapeutic	Therapeutic nature	15	11
CHP00120	Sour medicinal	Medicinal flavor	20	20
CHP00120	Bitter medicinal	Medicinal flavor	10	13
CHP00120	Liver meridian	Meridian tropism	12	7
CHP00120	Kidney meridian	Meridian tropism	21	10
CHP00120	Cool therapeutic	Therapeutic nature	15	11
CHP00121	Sweet medicinal	Medicinal flavor	13	19
CHP00121	Bitter medicinal	Medicinal flavor	10	13
CHP00121	Liver meridian	Meridian tropism	12	7
CHP00121	Kidney meridian	Meridian tropism	21	10
CHP00121	Gallbladder meridian	Meridian tropism	4	14
CHP00121	Cold therapeutic	Therapeutic nature	6	17
CHP00122	Pungent medicinal	Medicinal flavor	14	4
CHP00122	Bitter medicinal	Medicinal flavor	10	13
CHP00122	Neutral therapeutic	Therapeutic nature	16	15
CHP00123	Sour medicinal	Medicinal flavor	20	20
CHP00123	Bitter medicinal	Medicinal flavor	10	13
CHP00123	Cool therapeutic	Therapeutic nature	15	11
CHP00124	Sweet medicinal	Medicinal flavor	13	19
CHP00124	Stomach meridian	Meridian tropism	8	3
CHP00124	Lung meridian	Meridian tropism	5	8
CHP00124	Bladder meridian	Meridian tropism	7	12
CHP00124	Cold therapeutic	Therapeutic nature	6	17
CHP00125	Sweet medicinal	Medicinal flavor	13	19
CHP00125	Warm therapeutic	Therapeutic nature	18	6
CHP00126	Sweet medicinal	Medicinal flavor	13	19
CHP00126	Neutral therapeutic	Therapeutic nature	16	15
CHP00127	Sour medicinal	Medicinal flavor	20	20
CHP00127	Salty medicinal	Medicinal flavor	23	16
CHP00127	Astringent medicinal	Medicinal flavor	17	18
CHP00127	Neutral therapeutic	Therapeutic nature	16	15
CHP00128	Pungent medicinal	Medicinal flavor	14	4
CHP00128	Bitter medicinal	Medicinal flavor	10	13
CHP00128	Warm therapeutic	Therapeutic nature	18	6
CHP00129	Sweet medicinal	Medicinal flavor	13	19
CHP00129	Pungent medicinal	Medicinal flavor	14	4
CHP00129	Cool therapeutic	Therapeutic nature	15	11
CHP00130	Sweet medicinal	Medicinal flavor	13	19
CHP00130	Pungent medicinal	Medicinal flavor	14	4
CHP00130	Bitter medicinal	Medicinal flavor	10	13
CHP00130	Warm therapeutic	Therapeutic nature	18	6
CHP00131	Sweet medicinal	Medicinal flavor	13	19
CHP00131	Pungent medicinal	Medicinal flavor	14	4
CHP00131	Warm therapeutic	Therapeutic nature	18	6
CHP00132	Bitter medicinal	Medicinal flavor	10	13
CHP00132	Astringent medicinal	Medicinal flavor	17	18
CHP00132	Warm therapeutic	Therapeutic nature	18	6
CHP00133	Bitter medicinal	Medicinal flavor	10	13
CHP00133	Cool therapeutic	Therapeutic nature	15	11
CHP00134	Pungent medicinal	Medicinal flavor	14	4
CHP00134	Warm therapeutic	Therapeutic nature	18	6
CHP00134	Neutral therapeutic	Therapeutic nature	16	15
CHP00135	Pungent medicinal	Medicinal flavor	14	4
CHP00135	Bitter medicinal	Medicinal flavor	10	13
CHP00135	Lung meridian	Meridian tropism	5	8
CHP00135	Warm therapeutic	Therapeutic nature	18	6
CHP00136	Bitter medicinal	Medicinal flavor	10	13
CHP00136	Cold therapeutic	Therapeutic nature	6	17
CHP00137	Pungent medicinal	Medicinal flavor	14	4
CHP00137	Bitter medicinal	Medicinal flavor	10	13
CHP00137	Warm therapeutic	Therapeutic nature	18	6
CHP00138	Bitter medicinal	Medicinal flavor	10	13
CHP00138	Astringent medicinal	Medicinal flavor	17	18
CHP00138	Warm therapeutic	Therapeutic nature	18	6
CHP00139	Pungent medicinal	Medicinal flavor	14	4
CHP00139	Bitter medicinal	Medicinal flavor	10	13
CHP00139	Cold therapeutic	Therapeutic nature	6	17
CHP00140	Sweet medicinal	Medicinal flavor	13	19
CHP00140	Bitter medicinal	Medicinal flavor	10	13
CHP00140	Stomach meridian	Meridian tropism	8	3
CHP00140	Spleen meridian	Meridian tropism	19	5
CHP00140	Liver meridian	Meridian tropism	12	7
CHP00140	Kidney meridian	Meridian tropism	21	10
CHP00140	Neutral therapeutic	Therapeutic nature	16	15
CHP00141	Pungent medicinal	Medicinal flavor	14	4
CHP00141	Bitter medicinal	Medicinal flavor	10	13
CHP00141	Cold therapeutic	Therapeutic nature	6	17
CHP00142	Sweet medicinal	Medicinal flavor	13	19
CHP00142	Bitter medicinal	Medicinal flavor	10	13
CHP00142	Stomach meridian	Meridian tropism	8	3
CHP00142	Spleen meridian	Meridian tropism	19	5
CHP00142	Warm therapeutic	Therapeutic nature	18	6
CHP00143	Bitter medicinal	Medicinal flavor	10	13
CHP00143	Warm therapeutic	Therapeutic nature	18	6
CHP00144	Bitter medicinal	Medicinal flavor	10	13
CHP00144	Cold therapeutic	Therapeutic nature	6	17
CHP00145	Pungent medicinal	Medicinal flavor	14	4
CHP00145	Neutral therapeutic	Therapeutic nature	16	15
CHP00146	Bitter medicinal	Medicinal flavor	10	13
CHP00146	Large intestine meridian	Meridian tropism	2	9
CHP00146	Stomach meridian	Meridian tropism	8	3
